# L=64 A=9.0000 dir=axial thermostat=on coupling=on gamma=0.0200 T=0.00500 seed=0xE0102000 backend=cpu
tick,manifested_count,cluster_size,positive_count,negative_count,genesis_events,evap_events
0,1,1,0,1,1,0
1,1,1,0,1,0,0
2,1,1,0,1,0,0
3,2,2,1,1,1,0
4,2,2,1,1,0,0
5,3,3,2,1,1,0
6,3,3,2,1,0,0
7,3,3,2,1,0,0
8,3,3,2,1,0,0
9,3,3,2,1,0,0
10,3,3,2,1,0,0
11,3,3,2,1,0,0
12,3,3,2,1,0,0
13,3,3,2,1,0,0
14,3,3,2,1,0,0
15,3,3,2,1,0,0
16,3,3,2,1,0,0
17,3,3,2,1,0,0
18,3,3,2,1,0,0
19,3,3,2,1,0,0
20,3,3,2,1,0,0
21,3,3,2,1,0,0
22,3,3,2,1,0,0
23,3,3,2,1,0,0
24,3,3,2,1,0,0
25,3,3,2,1,0,0
26,3,3,2,1,0,0
27,3,3,2,1,0,0
28,3,3,2,1,0,0
29,3,3,2,1,0,0
30,3,3,2,1,0,0
31,3,3,2,1,0,0
32,3,3,2,1,0,0
33,3,3,2,1,0,0
34,3,3,2,1,0,0
35,3,3,2,1,0,0
36,3,3,2,1,0,0
37,3,3,2,1,0,0
38,3,3,2,1,0,0
39,3,3,2,1,0,0
40,3,3,2,1,0,0
41,3,3,2,1,0,0
42,3,3,2,1,0,0
43,3,3,2,1,0,0
44,3,3,2,1,0,0
45,3,3,2,1,0,0
46,3,3,2,1,0,0
47,3,3,2,1,0,0
48,3,3,2,1,0,0
49,3,3,2,1,0,0
50,3,3,2,1,0,0
51,3,3,2,1,0,0
52,3,3,2,1,0,0
53,3,3,2,1,0,0
54,3,3,2,1,0,0
55,3,3,2,1,0,0
56,3,3,2,1,0,0
57,3,3,2,1,0,0
58,3,3,2,1,0,0
59,3,3,2,1,0,0
60,3,3,2,1,0,0
61,3,3,2,1,0,0
62,3,3,2,1,0,0
63,2,1,2,0,0,1
64,2,1,2,0,0,0
65,2,1,2,0,0,0
66,2,1,2,0,0,0
67,2,1,2,0,0,0
68,2,1,2,0,0,0
69,2,1,2,0,0,0
70,2,1,2,0,0,0
71,2,1,2,0,0,0
72,2,1,2,0,0,0
73,2,1,2,0,0,0
74,2,1,2,0,0,0
75,2,1,2,0,0,0
76,2,1,2,0,0,0
77,2,1,2,0,0,0
78,2,1,2,0,0,0
79,2,1,2,0,0,0
80,2,1,2,0,0,0
81,2,1,2,0,0,0
82,2,1,2,0,0,0
83,2,1,2,0,0,0
84,2,1,2,0,0,0
85,2,1,2,0,0,0
86,2,1,2,0,0,0
87,2,1,2,0,0,0
88,2,1,2,0,0,0
89,2,1,2,0,0,0
90,2,1,2,0,0,0
91,2,1,2,0,0,0
92,2,1,2,0,0,0
93,2,1,2,0,0,0
94,2,1,2,0,0,0
95,2,1,2,0,0,0
96,2,1,2,0,0,0
97,2,1,2,0,0,0
98,2,1,2,0,0,0
99,2,1,2,0,0,0
100,2,1,2,0,0,0
101,2,1,2,0,0,0
102,2,1,2,0,0,0
103,2,1,2,0,0,0
104,2,1,2,0,0,0
105,2,1,2,0,0,0
106,2,1,2,0,0,0
107,2,1,2,0,0,0
108,2,1,2,0,0,0
109,2,1,2,0,0,0
110,2,1,2,0,0,0
111,2,1,2,0,0,0
112,2,1,2,0,0,0
113,2,1,2,0,0,0
114,2,1,2,0,0,0
115,2,1,2,0,0,0
116,2,1,2,0,0,0
117,2,1,2,0,0,0
118,2,1,2,0,0,0
119,2,1,2,0,0,0
120,2,1,2,0,0,0
121,2,1,2,0,0,0
122,2,1,2,0,0,0
123,2,1,2,0,0,0
124,2,1,2,0,0,0
125,2,1,2,0,0,0
126,2,1,2,0,0,0
127,2,1,2,0,0,0
128,2,1,2,0,0,0
129,2,1,2,0,0,0
130,2,1,2,0,0,0
131,2,1,2,0,0,0
132,2,1,2,0,0,0
133,2,1,2,0,0,0
134,2,1,2,0,0,0
135,2,1,2,0,0,0
136,2,1,2,0,0,0
137,2,1,2,0,0,0
138,2,1,2,0,0,0
139,2,1,2,0,0,0
140,2,1,2,0,0,0
141,2,1,2,0,0,0
142,2,1,2,0,0,0
143,2,1,2,0,0,0
144,2,1,2,0,0,0
145,2,1,2,0,0,0
146,2,1,2,0,0,0
147,2,1,2,0,0,0
148,2,1,2,0,0,0
149,2,1,2,0,0,0
150,2,1,2,0,0,0
151,2,1,2,0,0,0
152,2,1,2,0,0,0
153,2,1,2,0,0,0
154,2,1,2,0,0,0
155,2,1,2,0,0,0
156,2,1,2,0,0,0
157,2,1,2,0,0,0
158,2,1,2,0,0,0
159,2,1,2,0,0,0
160,2,1,2,0,0,0
161,2,1,2,0,0,0
162,2,1,2,0,0,0
163,2,1,2,0,0,0
164,2,1,2,0,0,0
165,2,1,2,0,0,0
166,2,1,2,0,0,0
167,2,1,2,0,0,0
168,2,1,2,0,0,0
169,2,1,2,0,0,0
170,2,1,2,0,0,0
171,2,1,2,0,0,0
172,2,1,2,0,0,0
173,2,1,2,0,0,0
174,2,1,2,0,0,0
175,2,1,2,0,0,0
176,2,1,2,0,0,0
177,2,1,2,0,0,0
178,2,1,2,0,0,0
179,2,1,2,0,0,0
180,2,1,2,0,0,0
181,2,1,2,0,0,0
182,2,1,2,0,0,0
183,2,1,2,0,0,0
184,2,1,2,0,0,0
185,2,1,2,0,0,0
186,2,1,2,0,0,0
187,2,1,2,0,0,0
188,2,1,2,0,0,0
189,2,1,2,0,0,0
190,2,1,2,0,0,0
191,2,1,2,0,0,0
192,2,1,2,0,0,0
193,2,1,2,0,0,0
194,2,1,2,0,0,0
195,2,1,2,0,0,0
196,2,1,2,0,0,0
197,2,1,2,0,0,0
198,2,1,2,0,0,0
199,2,1,2,0,0,0
200,2,1,2,0,0,0
201,2,1,2,0,0,0
202,2,1,2,0,0,0
203,2,1,2,0,0,0
204,2,1,2,0,0,0
205,2,1,2,0,0,0
206,2,1,2,0,0,0
207,2,1,2,0,0,0
208,2,1,2,0,0,0
209,2,1,2,0,0,0
210,2,1,2,0,0,0
211,2,1,2,0,0,0
212,2,1,2,0,0,0
213,2,1,2,0,0,0
214,2,1,2,0,0,0
215,2,1,2,0,0,0
216,2,1,2,0,0,0
217,2,1,2,0,0,0
218,2,1,2,0,0,0
219,2,1,2,0,0,0
220,2,1,2,0,0,0
221,2,1,2,0,0,0
222,2,1,2,0,0,0
223,2,1,2,0,0,0
224,2,1,2,0,0,0
225,2,1,2,0,0,0
226,2,1,2,0,0,0
227,2,1,2,0,0,0
228,2,1,2,0,0,0
229,2,1,2,0,0,0
230,2,1,2,0,0,0
231,2,1,2,0,0,0
232,2,1,2,0,0,0
233,2,1,2,0,0,0
234,2,1,2,0,0,0
235,2,1,2,0,0,0
236,2,1,2,0,0,0
237,2,1,2,0,0,0
238,2,1,2,0,0,0
239,2,1,2,0,0,0
240,2,1,2,0,0,0
241,2,1,2,0,0,0
242,2,1,2,0,0,0
243,2,1,2,0,0,0
244,2,1,2,0,0,0
245,2,1,2,0,0,0
246,2,1,2,0,0,0
247,2,1,2,0,0,0
248,2,1,2,0,0,0
249,2,1,2,0,0,0
250,2,1,2,0,0,0
251,2,1,2,0,0,0
252,2,1,2,0,0,0
253,2,1,2,0,0,0
254,2,1,2,0,0,0
255,2,1,2,0,0,0
256,2,1,2,0,0,0
257,2,1,2,0,0,0
258,2,1,2,0,0,0
259,2,1,2,0,0,0
260,2,1,2,0,0,0
261,2,1,2,0,0,0
262,2,1,2,0,0,0
263,2,1,2,0,0,0
264,2,1,2,0,0,0
265,2,1,2,0,0,0
266,2,1,2,0,0,0
267,2,1,2,0,0,0
268,2,1,2,0,0,0
269,2,1,2,0,0,0
270,2,1,2,0,0,0
271,2,1,2,0,0,0
272,2,1,2,0,0,0
273,2,1,2,0,0,0
274,2,1,2,0,0,0
275,2,1,2,0,0,0
276,2,1,2,0,0,0
277,2,1,2,0,0,0
278,2,1,2,0,0,0
279,2,1,2,0,0,0
280,2,1,2,0,0,0
281,2,1,2,0,0,0
282,2,1,2,0,0,0
283,2,1,2,0,0,0
284,2,1,2,0,0,0
285,2,1,2,0,0,0
286,2,1,2,0,0,0
287,2,1,2,0,0,0
288,2,1,2,0,0,0
289,2,1,2,0,0,0
290,2,1,2,0,0,0
291,2,1,2,0,0,0
292,2,1,2,0,0,0
293,2,1,2,0,0,0
294,2,1,2,0,0,0
295,2,1,2,0,0,0
296,2,1,2,0,0,0
297,2,1,2,0,0,0
298,2,1,2,0,0,0
299,2,1,2,0,0,0
